Game,Opp,WonLost,R,RA,DayNight,Attendance,Duration,Away
133,BAL,W,13,2,N,36226,179,FALSE
134,BAL,W,4,3,N,31962,180,FALSE
135,BAL,L,2,3,N,33300,200,FALSE
136,CHW,W,4,3,N,36063,189,FALSE
137,CHW,W,7,2,N,37363,191,FALSE
138,CHW,W,7,6,D,37053,219,FALSE
139,DET,L,0,3,D,36188,179,FALSE
140,DET,W,2,1,N,32071,176,FALSE
141,DET,W,20,4,N,33720,213,FALSE
142,NYY,W,9,8,N,40481,272,TRUE
143,NYY,W,12,8,N,44117,240,TRUE
144,NYY,W,13,9,D,49046,212,TRUE
145,NYY,L,3,4,D,43078,195,TRUE
146,TBR,W,2,0,N,18605,189,TRUE
147,TBR,W,7,3,N,19215,245,TRUE
148,TBR,L,3,4,N,20360,197,TRUE
149,NYY,W,8,4,N,37542,186,FALSE
150,NYY,W,5,1,D,37510,163,FALSE
151,NYY,W,9,2,N,37137,193,FALSE
152,BAL,L,2,3,N,35030,188,FALSE
153,BAL,L,3,5,N,38540,241,FALSE
154,BAL,W,3,1,N,36436,138,FALSE
155,TOR,W,6,3,N,37215,206,FALSE
156,TOR,L,2,4,N,37569,187,FALSE
157,TOR,W,5,2,D,37020,133,FALSE
158,COL,L,3,8,N,32315,160,TRUE
159,COL,W,15,5,N,48775,210,TRUE
160,BAL,W,12,3,N,30774,196,TRUE
161,BAL,L,5,6,N,36556,201,TRUE
162,BAL,L,6,7,D,44230,203,TRUE
ALDS Game 1,TBR,W,12,2,D,38177,213,FALSE
ALDS Game 2,TBR,W,7,4,N,38705,194,FALSE
ALDS Game 3,TBR,L,4,5,N,33675,259,TRUE
ALDS Game 4,TBR,W,3,1,N,32807,229,TRUE
ALCS Game 1,DET,L,0,1,N,38210,236,FALSE
ALCS Game 2,DET,W,6,5,N,38029,208,FALSE
ALCS Game 3,DET,W,1,0,D,42327,200,TRUE
ALCS Game 4,DET,L,3,7,N,42765,207,TRUE
ALCS Game 5,DET,W,4,3,N,42669,227,TRUE
ALCS Game 6,DET,W,5,2,N,38823,232,FALSE
WS Game 1,STL,W,8,1,N,38345,197,FALSE
WS Game 2,STL,L,2,4,N,38436,185,FALSE
WS Game 3,STL,L,4,5,N,47432,234,TRUE
WS Game 4,STL,W,4,2,N,47469,214,TRUE
WS Game 5,STL,W,3,1,N,47436,172,TRUE
WS Game 6,STL,W,6,1,N,38447,195,FALSE

