Involved Family,Supportive Environment,Safe,ACT Spring 2013 Average Grade 11,College Enrollment Rate Percentage 2013
STRONG,STRONG,STRONG,18.7,58.60%
NEUTRAL,STRONG,NEUTRAL,23.4,84.30%
NEUTRAL,NEUTRAL,NEUTRAL,16.8,51.30%
NEUTRAL,STRONG,NEUTRAL,16.8,63.40%
VERY STRONG,STRONG,STRONG,22,73.10%
WEAK,NEUTRAL,NEUTRAL,14.1,58.80%
WEAK,NEUTRAL,NEUTRAL,14.5,49.20%
WEAK,WEAK,NEUTRAL,17.9,55.80%
WEAK,NEUTRAL,WEAK,14.6,53.60%
NEUTRAL,NEUTRAL,NEUTRAL,14.7,51.60%
WEAK,NEUTRAL,NEUTRAL,13,23.10%
NOT ENOUGH DATA,VERY STRONG,VERY STRONG,14.7,17.60%
